task_id,parent_id,project_name,task_name,status,percentage_completion,date_created,start_date,due_date,date_completed,time_tracked_hours,task_type,complexity_points,priority,blocker_reason,quality_review_status,last_updated_date,predecessor_task_id,assignee_id
T-00131,T-00130,Customer Onboarding Flow Optimization,Ad Spend Optimization - T-00131,To Do,,2025-01-25,2025-01-28,2025-03-22,,0.0,Marketing & Promotion,5,Medium,,,2025-06-24,T-00098,ASS-011
T-00132,T-00131,Q3 Product Feature Launch - AI Integration,FAQ Document - T-00132,Completed,100.0,2025-02-24,2025-02-28,2025-03-30,2025-04-09,16.2,Customer Support Prep,5,High,,Minor Rework,2025-07-02,,ASS-006
T-00133,,Internal Tool Development - Automation Suite,Risk Assessment - T-00133,Blocked,,2024-12-10,2024-12-12,,,,PMO & Coordination,5,Critical,,,2025-06-30,,ASS-007
T-00134,,Website Redesign - User Experience Overhaul,Define Objectives - T-00134,blocked!,70.0,2024-11-24,2024-11-27,2025-01-14,,,Strategy & Planning,3,Critical,unexpected scope creep,,2025-06-26,,ASS-004
T-00135,T-00134,Holiday Marketing Campaign - Social Media Focus,Performance Tracking - T-00135,Review,100.0,2024-11-18,2024-11-23,,,18.1,Marketing & Promotion,5,Low,,,2025-07-05,,ASS-007
T-00136,T-00135,Website Redesign - User Experience Overhaul,Integrate API - T-00136,Blocked,,2024-10-05,2024-10-12,,,14.8,Development (Frontend),5,Medium,,,2025-06-28,,ASS-003
T-00137,T-00135,Internal Tool Development - Automation Suite,Unit Testing - T-00137,To Do,0.0,2024-07-25,2024-07-28,2024-09-01,,,QA & Testing,3,Critical,,,2025-06-25,,ASS-003
T-00138,T-00135,Q3 Product Feature Launch - AI Integration,Release Plan - T-00138,Blocked,64.2,2024-10-19,2024-10-23,2024-12-20,,11.2,Deployment & Release,5,Critical,,,2025-06-23,,ASS-011
T-00139,,Website Redesign - User Experience Overhaul,API Endpoint Creation - T-00139,In Progress,66.8,2024-09-25,2024-09-30,2024-11-16,,7.4,Development (Backend),2,High,,,2025-06-24,,ASS-007
T-00140,T-00139,Internal Tool Development - Automation Suite,Ad Copy Draft - T-00140,Review,100.0,2025-02-09,2025-02-10,2025-04-05,2025-04-13,11.7,Content Creation,2,Medium,,Minor Rework,2025-07-01,,ASS-006
T-00141,T-00140,Holiday Marketing Campaign - Social Media Focus,Data Collection Setup - T-00141,blocked!,74.0,2024-11-05,2024-11-06,2024-11-23,,8.3,Analytics & Reporting,2,Critical,Design Approval Needed,,2025-07-01,,ASS-011
T-00142,T-00140,Q3 Product Feature Launch - AI Integration,Social Media Post - T-00142,todo,0.0,2024-12-06,2024-12-13,2025-02-04,,0.0,Content Creation,4,Critical,,,2025-07-05,,ASS-007
T-00143,T-00140,Internal Tool Development - Automation Suite,Market Research - T-00143,Completed,100.0,2024-10-28,2024-10-29,2024-12-19,2024-12-14,13.2,Strategy & Planning,4,Low,,,2025-07-03,,ASS-008
T-00144,T-00139,Customer Onboarding Flow Optimization,Stakeholder Sync - T-00144,To Do,0.0,2025-02-08,2025-02-14,2025-03-18,,0.0,PMO & Coordination,3,Medium,,,2025-06-30,,ASS-011
T-00145,T-00144,Internal Tool Development - Automation Suite,Performance Tuning - T-00145,Completed,100.0,2024-09-04,2024-09-09,2024-09-18,2024-09-13,32.8,Development (Backend),5,Medium,,,2025-06-26,,ASS-005
T-00146,T-00139,Q3 Product Feature Launch - AI Integration,Blog Article - T-00146,blocked!,72.8,2024-11-29,2024-11-29,2025-02-08,,10.3,Content Creation,3,High,,,2025-06-25,T-00131,ASS-008
T-00147,T-00146,Customer Onboarding Flow Optimization,Training Material - T-00147,To Do,0.0,2024-12-10,2024-12-17,2025-01-24,,0.0,Customer Support Prep,5,Critical,,,2025-06-29,T-00058,ASS-008
T-00148,T-00146,Internal Tool Development - Automation Suite,Deployment Script - T-00148,Blocked,60.9,2024-08-23,2024-08-25,2024-10-15,,1.0,Deployment & Release,2,High,Data Access Issues,,2025-06-23,T-00106,ASS-008
T-00149,T-00146,Q3 Product Feature Launch - AI Integration,Post-Launch Monitoring Setup - T-00149,In Progress,85.0,2025-03-05,2025-03-11,2025-04-22,,14.7,Deployment & Release,3,Medium,,,2025-07-02,,ASS-001
T-00150,T-00146,Q3 Product Feature Launch - AI Integration,Blog Article - T-00150,REVIEW,100.0,2025-01-04,2025-01-08,2025-03-05,,30.8,Content Creation,2,Critical,,,2025-07-02,,ASS-009
T-00151,,Customer Onboarding Flow Optimization,Market Research - T-00151,Blocked,46.0,2024-11-05,2024-11-11,2025-01-15,,6.2,Strategy & Planning,1,Medium,,,2025-07-01,,ASS-003
T-00152,T-00151,Customer Onboarding Flow Optimization,Contract Approval - T-00152,In Progress,72.9,2024-12-10,2024-12-17,2025-02-10,,4.0,Legal & Compliance Review,3,low,,,2025-07-06,,ASS-010
T-00153,T-00152,Website Redesign - User Experience Overhaul,Frontend Bug Fix - T-00153,To Do,0.0,2024-09-08,2024-09-14,2024-10-25,,0.0,Development (Frontend),2,Medium,,,2025-07-07,T-00022,ASS-011
T-00154,T-00152,Q3 Product Feature Launch - AI Integration,Define Objectives - T-00154,blocked!,62.0,2024-12-24,2024-12-27,2025-01-13,,,Strategy & Planning,1,Medium,,,2025-06-30,,ASS-001
T-00155,T-00152,Holiday Marketing Campaign - Social Media Focus,Unit Testing - T-00155,In Progress,15.3,2024-11-07,2024-11-14,,,,QA & Testing,1,Low,,,2025-07-06,,ASS-009
T-00156,T-00152,Website Redesign - User Experience Overhaul,Dashboard Build - T-00156,in progress,28.0,2024-10-15,2024-10-17,2024-10-29,,,Analytics & Reporting,3,Low,,,2025-06-28,,ASS-008
T-00157,T-00151,Holiday Marketing Campaign - Social Media Focus,Dependency Management - T-00157,Completed,100.0,2025-03-17,2025-03-21,2025-05-18,2025-05-14,19.1,PMO & Coordination,5,Low,,,2025-07-06,,ASS-002
T-00158,T-00151,Website Redesign - User Experience Overhaul,Budget Allocation - T-00158,Completed,100.0,2024-07-22,2024-07-24,2024-08-11,2024-08-17,33.9,Strategy & Planning,1,High,,Passed,2025-07-01,,ASS-010
T-00159,T-00158,Website Redesign - User Experience Overhaul,Performance Tuning - T-00159,Review,100.0,2025-01-26,2025-01-29,2025-02-04,,34.6,Development (Backend),1,medium,,Passed,2025-07-02,,ASS-004
T-00160,,Website Redesign - User Experience Overhaul,Database Schema Update - T-00160,In Progress,30.3,2024-12-17,2024-12-21,2024-12-31,,8.8,Development (Backend),5,High,,,2025-07-02,,ASS-006
T-00161,T-00160,Customer Onboarding Flow Optimization,Frontend Bug Fix - T-00161,Review,100.0,2024-07-27,2024-08-01,2024-08-23,2024-08-26,21.2,Development (Frontend),2,Low,,,2025-07-04,,ASS-011
T-00162,T-00161,Customer Onboarding Flow Optimization,FAQ Document - T-00162,Blocked,33.7,2025-04-22,2025-04-28,2025-05-26,,3.2,Customer Support Prep,3,Critical,,,2025-06-29,,ASS-012
T-00163,T-00160,Q3 Product Feature Launch - AI Integration,Frontend Bug Fix - T-00163,In Progress,58.6,2024-10-21,2024-10-23,2024-12-20,,21.7,Development (Frontend),4,High,,,2025-07-01,,ASS-011
T-00164,T-00163,Website Redesign - User Experience Overhaul,Performance Tracking - T-00164,Review,100.0,2025-02-28,2025-03-07,2025-04-08,2025-04-05,22.5,Marketing & Promotion,1,High,,Minor Rework,2025-07-06,,ASS-007
T-00165,T-00163,Customer Onboarding Flow Optimization,Market Research - T-00165,Blocked,21.3,2024-10-11,2024-10-15,2024-12-03,,0.7,Strategy & Planning,1,Low,,,2025-07-02,,ASS-005
T-00166,T-00163,Internal Tool Development - Automation Suite,Build UI Component - T-00166,To Do,0.0,2025-01-11,2025-01-17,,,,Development (Frontend),4,Critical,,,2025-07-03,,ASS-002
T-00167,T-00163,Holiday Marketing Campaign - Social Media Focus,Social Media Post - T-00167,In Progress,89.4,2025-04-21,2025-04-26,,,15.8,Content Creation,3,Medium,,,2025-06-30,,ASS-011
T-00168,T-00160,Internal Tool Development - Automation Suite,Dashboard Build - T-00168,Review,100.0,2024-08-23,2024-08-28,2024-09-21,2024-09-22,,Analytics & Reporting,3,Medium,,,2025-06-30,T-00036,ASS-008
T-00169,T-00168,Q3 Product Feature Launch - AI Integration,Support Handoff - T-00169,Review,100.0,2024-11-27,2024-12-02,2025-01-15,2025-01-14,32.2,Customer Support Prep,2,Medium,,,2025-06-27,T-00098,ASS-011
T-00170,T-00168,Customer Onboarding Flow Optimization,Integrate API - T-00170,REVIEW,100.0,2024-12-03,2024-12-09,2025-01-29,,11.8,Development (Frontend),1,High,,Minor Rework,2025-06-28,,ASS-008
T-00171,T-00160,Internal Tool Development - Automation Suite,API Endpoint Creation - T-00171,In Progress,17.2,2024-09-05,2024-09-05,2024-10-04,,,Development (Backend),4,Medium,,,2025-06-29,,ASS-006
T-00172,T-00171,Customer Onboarding Flow Optimization,Integration Testing - T-00172,Blocked,,2024-12-21,2024-12-26,2025-03-06,,4.1,QA & Testing,3,Medium,,,2025-06-30,,ASS-011
T-00173,T-00171,Website Redesign - User Experience Overhaul,User Testing - T-00173,To Do,0.0,2024-07-31,2024-08-01,,,0.0,Design & UX,2,Critical,,,2025-06-23,,ASS-006
T-00174,T-00171,Holiday Marketing Campaign - Social Media Focus,Blog Article - T-00174,completed.,100.0,2025-04-23,2025-04-23,2025-06-01,2025-05-31,34.3,Content Creation,3,Critical,,,2025-06-29,,ASS-005
T-00175,,Holiday Marketing Campaign - Social Media Focus,Training Material - T-00175,Completed,100.0,2024-08-30,2024-09-01,2024-09-16,2024-09-23,,Customer Support Prep,2,Critical,,,2025-07-05,,ASS-004
T-00176,,Customer Onboarding Flow Optimization,Compliance Check - T-00176,todo,0.0,2025-02-02,2025-02-06,2025-04-02,,0.0,Legal & Compliance Review,1,Medium,,,2025-07-06,,ASS-008
T-00177,T-00176,Holiday Marketing Campaign - Social Media Focus,Integration Testing - T-00177,Completed,100.0,2024-09-07,2024-09-14,2024-10-09,2024-10-10,38.1,QA & Testing,1,high,,Failed QA,2025-07-02,,ASS-009
T-00178,,Q3 Product Feature Launch - AI Integration,Integrate API - T-00178,Completed,100.0,2025-04-15,2025-04-20,2025-05-08,2025-05-04,26.8,Development (Frontend),5,High,,Minor Rework,2025-06-23,,ASS-007
T-00179,T-00178,Customer Onboarding Flow Optimization,Data Collection Setup - T-00179,In Progress,,2025-04-11,2025-04-11,2025-05-30,,10.9,Analytics & Reporting,3,Medium,,,2025-06-30,,ASS-002
T-00180,T-00179,Q3 Product Feature Launch - AI Integration,Define Objectives - T-00180,REVIEW,100.0,2025-03-28,2025-03-28,,,18.4,Strategy & Planning,1,Critical,,,2025-06-27,,ASS-004
T-00181,T-00178,Website Redesign - User Experience Overhaul,Integration Testing - T-00181,Completed,100.0,2024-10-25,2024-10-31,2024-11-07,2024-11-02,,QA & Testing,5,high,,,2025-06-27,,ASS-003
T-00182,T-00181,Holiday Marketing Campaign - Social Media Focus,Data Collection Setup - T-00182,Review,100.0,2024-09-18,2024-09-19,2024-10-28,2024-10-27,,Analytics & Reporting,2,High,,,2025-07-03,,ASS-012
T-00183,,Website Redesign - User Experience Overhaul,Deployment Script - T-00183,Review,,2024-12-06,2024-12-06,2025-01-08,2025-01-11,31.2,Deployment & Release,1,CRITICAL,,Passed,2025-07-07,,ASS-003
T-00184,T-00183,Internal Tool Development - Automation Suite,Training Material - T-00184,Review,100.0,2024-12-20,2024-12-20,,,25.8,Customer Support Prep,4,Medium,,,2025-06-25,,ASS-008
T-00185,T-00183,Customer Onboarding Flow Optimization,Contract Approval - T-00185,To Do,0.0,2024-09-24,2024-09-27,2024-10-17,,,Legal & Compliance Review,5,Critical,,,2025-06-25,,ASS-008
T-00186,T-00185,Internal Tool Development - Automation Suite,FAQ Document - T-00186,REVIEW,100.0,2024-11-17,2024-11-22,2025-01-16,2025-01-20,,Customer Support Prep,3,Medium,,Minor Rework,2025-06-25,T-00139,ASS-002
T-00187,T-00185,Customer Onboarding Flow Optimization,Data Collection Setup - T-00187,To Do,0.0,2024-11-13,2024-11-15,2024-12-01,,0.0,Analytics & Reporting,2,Medium,,,2025-07-03,,ASS-012
T-00188,T-00185,Website Redesign - User Experience Overhaul,Dependency Management - T-00188,To Do,0.0,2024-11-30,2024-12-06,2025-01-12,,0.0,PMO & Coordination,5,Low,,,2025-07-02,,ASS-011
T-00189,T-00183,Customer Onboarding Flow Optimization,Deployment Script - T-00189,REVIEW,100.0,2025-03-10,2025-03-13,2025-03-19,,7.2,Deployment & Release,4,Medium,,,2025-06-23,,ASS-011
T-00190,T-00189,Customer Onboarding Flow Optimization,Deployment Script - T-00190,Blocked,1.9,2024-11-03,2024-11-07,,,1.9,Deployment & Release,2,Medium,cross-team handoff delay,,2025-06-26,T-00166,ASS-011
T-00191,T-00189,Website Redesign - User Experience Overhaul,Frontend Bug Fix - T-00191,Blocked,15.4,2024-12-24,2024-12-24,2025-01-25,,4.9,Development (Frontend),4,CRITICAL,Technical Bug Found!,,2025-07-07,T-00143,ASS-006
T-00192,T-00189,Customer Onboarding Flow Optimization,FAQ Document - T-00192,completed.,100.0,2024-08-26,2024-09-01,2024-10-26,2024-10-28,26.2,Customer Support Prep,1,Medium,,,2025-06-29,T-00109,ASS-001
T-00193,T-00183,Customer Onboarding Flow Optimization,Contract Approval - T-00193,Completed,100.0,2025-01-17,2025-01-19,2025-02-15,2025-02-18,38.6,Legal & Compliance Review,5,High,,,2025-06-25,,ASS-005
T-00194,,Website Redesign - User Experience Overhaul,Ad Spend Optimization - T-00194,todo,,2024-08-17,2024-08-22,2024-09-15,,0.0,Marketing & Promotion,1,Low,,,2025-06-28,,ASS-010
T-00195,T-00194,Website Redesign - User Experience Overhaul,Market Research - T-00195,To Do,0.0,2025-03-07,2025-03-11,2025-03-25,,0.0,Strategy & Planning,5,Low,,,2025-07-02,,ASS-008
T-00196,T-00195,Holiday Marketing Campaign - Social Media Focus,Dependency Management - T-00196,Review,100.0,2024-10-20,2024-10-26,,,31.9,PMO & Coordination,2,Low,,,2025-06-24,,ASS-007
T-00197,T-00195,Customer Onboarding Flow Optimization,Release Plan - T-00197,In Progress,100.0,2025-01-23,2025-01-29,2025-02-25,,3.9,Deployment & Release,4,High,,,2025-07-06,,ASS-006
T-00198,T-00195,Website Redesign - User Experience Overhaul,Database Schema Update - T-00198,Blocked,32.2,2025-04-15,2025-04-17,2025-07-06,,13.8,Development (Backend),4,Critical,,,2025-06-25,,ASS-012
T-00199,T-00194,Holiday Marketing Campaign - Social Media Focus,Define Objectives - T-00199,In Progress,84.9,2024-09-04,2024-09-10,2024-10-14,,24.9,Strategy & Planning,2,Low,,,2025-07-01,,ASS-007
T-00200,,Holiday Marketing Campaign - Social Media Focus,Integration Testing - T-00200,Blocked,28.6,2025-04-08,2025-04-08,2025-06-01,,2.4,QA & Testing,4,Low,Technical Bug Found,,2025-06-26,,ASS-012
T-00201,,Website Redesign - User Experience Overhaul,UAT Coordination - T-00201,To Do,,2024-07-23,2024-07-26,2024-08-25,,0.0,QA & Testing,1,Low,,,2025-06-27,,ASS-011
T-00202,,Internal Tool Development - Automation Suite,API Endpoint Creation - T-00202,Review,100.0,2025-03-10,2025-03-13,2025-04-17,,28.7,Development (Backend),2,Medium,,Minor Rework,2025-07-05,,ASS-012
T-00203,,Q3 Product Feature Launch - AI Integration,Training Material - T-00203,In Progress,,2024-10-03,2024-10-04,2024-11-30,,15.5,Customer Support Prep,2,Low,,,2025-06-30,,ASS-009
T-00204,,Internal Tool Development - Automation Suite,API Endpoint Creation - T-00204,todo,0.0,2025-03-21,2025-03-27,2025-05-05,,0.0,Development (Backend),5,Critical,,,2025-06-25,,ASS-008
T-00205,T-00204,Holiday Marketing Campaign - Social Media Focus,Data Collection Setup - T-00205,To Do,0.0,2024-08-25,2024-08-25,2024-09-24,,0.0,Analytics & Reporting,1,high,,,2025-06-29,T-00204,ASS-011
T-00206,T-00204,Q3 Product Feature Launch - AI Integration,User Testing - T-00206,Review,100.0,2024-09-17,2024-09-22,2024-10-01,,22.4,Design & UX,2,Critical,,,2025-06-26,,ASS-005
T-00207,T-00206,Internal Tool Development - Automation Suite,Campaign Launch - T-00207,In Progress,,2025-01-26,2025-01-29,2025-03-13,,,Marketing & Promotion,3,Medium,,,2025-07-04,,ASS-008
T-00208,T-00206,Holiday Marketing Campaign - Social Media Focus,FAQ Document - T-00208,Completed,100.0,2024-07-15,2024-07-19,2024-08-31,2024-09-10,5.1,Customer Support Prep,1,medium,,,2025-07-04,,ASS-009
T-00209,T-00206,Q3 Product Feature Launch - AI Integration,Ad Spend Optimization - T-00209,In Progress,44.9,2024-09-15,2024-09-16,2024-09-28,,4.9,Marketing & Promotion,1,Medium,,,2025-06-29,,ASS-008
T-00210,T-00204,Internal Tool Development - Automation Suite,Dashboard Build - T-00210,To Do,0.0,2025-03-11,2025-03-17,2025-05-12,,,Analytics & Reporting,3,Critical,,,2025-06-30,,ASS-006
T-00211,T-00210,Internal Tool Development - Automation Suite,Frontend Bug Fix - T-00211,blocked!,,2024-12-09,2024-12-09,2025-02-27,,3.1,Development (Frontend),3,Critical,Design Approval Needed,,2025-07-05,T-00153,ASS-010
T-00212,T-00204,Customer Onboarding Flow Optimization,Campaign Launch - T-00212,completed.,100.0,2025-01-27,2025-01-28,2025-02-09,2025-02-13,21.9,Marketing & Promotion,1,CRITICAL,,Failed QA,2025-06-27,T-00088,ASS-005
T-00213,T-00212,Customer Onboarding Flow Optimization,Frontend Bug Fix - T-00213,Review,100.0,2024-09-19,2024-09-26,2024-10-07,,10.5,Development (Frontend),2,Medium,,,2025-07-06,,ASS-011
T-00214,T-00212,Q3 Product Feature Launch - AI Integration,Performance Tuning - T-00214,REVIEW,100.0,2025-04-24,2025-04-25,2025-05-01,,6.4,Development (Backend),1,Critical,,,2025-06-23,T-00023,ASS-011
T-00215,T-00212,Website Redesign - User Experience Overhaul,Performance Tuning - T-00215,To Do,0.0,2024-12-06,2024-12-06,2024-12-28,,0.0,Development (Backend),1,Medium,,,2025-06-25,,ASS-012
T-00216,,Holiday Marketing Campaign - Social Media Focus,Training Material - T-00216,blocked!,2.7,2025-03-10,2025-03-15,2025-05-24,,10.3,Customer Support Prep,2,High,,,2025-07-07,,ASS-010
T-00217,T-00216,Customer Onboarding Flow Optimization,Stakeholder Sync - T-00217,To Do,0.0,2024-11-14,2024-11-16,2025-01-10,,0.0,PMO & Coordination,3,low,,,2025-07-04,,ASS-004
T-00218,T-00217,Internal Tool Development - Automation Suite,Contract Approval - T-00218,Blocked,56.4,2024-11-01,2024-11-03,2025-01-15,,,Legal & Compliance Review,5,Medium,,,2025-06-25,T-00052,ASS-010
T-00219,T-00217,Website Redesign - User Experience Overhaul,Performance Tuning - T-00219,Review,100.0,2024-11-16,2024-11-22,2025-01-08,2025-01-08,13.2,Development (Backend),4,CRITICAL,,Passed,2025-06-23,,ASS-004
T-00220,T-00216,Internal Tool Development - Automation Suite,Performance Report - T-00220,Review,100.0,2024-11-07,2024-11-07,2024-12-27,2024-12-27,22.1,Analytics & Reporting,1,Medium,,,2025-06-23,,ASS-012
T-00221,T-00220,Customer Onboarding Flow Optimization,Unit Testing - T-00221,Completed,100.0,2024-12-14,2024-12-19,2025-02-15,2025-02-20,,QA & Testing,4,High,,,2025-07-07,,ASS-004
T-00222,T-00216,Holiday Marketing Campaign - Social Media Focus,Deployment Script - T-00222,Blocked,64.2,2025-05-05,2025-05-09,2025-06-02,,4.8,Deployment & Release,5,High,,,2025-07-07,,ASS-001
T-00223,T-00222,Website Redesign - User Experience Overhaul,Wireframe Creation - T-00223,Review,100.0,2024-08-12,2024-08-15,,2024-10-15,8.5,Design & UX,2,Medium,,,2025-07-03,,ASS-001
T-00224,T-00222,Website Redesign - User Experience Overhaul,Post-Launch Monitoring Setup - T-00224,To Do,0.0,2025-01-30,2025-02-02,2025-02-17,,0.0,Deployment & Release,2,High,,,2025-06-30,,ASS-007
T-00225,,Holiday Marketing Campaign - Social Media Focus,Stakeholder Sync - T-00225,To Do,0.0,2025-04-08,2025-04-12,2025-05-10,,0.0,PMO & Coordination,4,Critical,,,2025-07-04,,ASS-004
T-00226,,Internal Tool Development - Automation Suite,Deployment Script - T-00226,Review,100.0,2024-09-12,2024-09-14,2024-10-20,,24.1,Deployment & Release,2,Medium,,Major Rework,2025-07-06,,ASS-003
T-00227,,Holiday Marketing Campaign - Social Media Focus,Unit Testing - T-00227,Review,100.0,2024-11-20,2024-11-26,2024-12-20,,28.9,QA & Testing,2,High,,Passed,2025-06-26,,ASS-001
T-00228,T-00227,Customer Onboarding Flow Optimization,Training Material - T-00228,In Progress,44.1,2024-11-26,2024-12-03,2025-01-30,,,Customer Support Prep,3,Critical,,,2025-07-04,T-00098,ASS-012
T-00229,T-00228,Website Redesign - User Experience Overhaul,Dashboard Build - T-00229,Blocked,6.0,2024-08-25,2024-08-29,2024-11-02,,13.3,Analytics & Reporting,4,high,,,2025-06-24,,ASS-008
T-00230,T-00228,Customer Onboarding Flow Optimization,Social Media Post - T-00230,REVIEW,100.0,2024-11-12,2024-11-12,2024-12-01,,34.9,Content Creation,3,Medium,,,2025-06-25,,ASS-004
T-00231,T-00228,Customer Onboarding Flow Optimization,Deployment Script - T-00231,In Progress,63.8,2024-09-06,2024-09-11,2024-10-05,,13.6,Deployment & Release,2,Low,,,2025-06-30,,ASS-010
T-00232,T-00227,Internal Tool Development - Automation Suite,Social Media Post - T-00232,REVIEW,100.0,2025-01-08,2025-01-10,2025-01-28,,23.3,Content Creation,5,Low,,,2025-07-02,,ASS-011
T-00233,T-00227,Q3 Product Feature Launch - AI Integration,Training Material - T-00233,Review,100.0,2025-01-31,2025-02-03,2025-04-01,2025-04-05,32.5,Customer Support Prep,5,Critical,,Passed,2025-06-29,,ASS-006
T-00234,T-00233,Internal Tool Development - Automation Suite,Dashboard Build - T-00234,Review,100.0,2024-09-28,2024-10-03,2024-10-15,2024-10-15,33.4,Analytics & Reporting,5,Critical,,,2025-06-30,T-00001,ASS-004
T-00235,T-00233,Q3 Product Feature Launch - AI Integration,Release Plan - T-00235,Completed,100.0,2024-09-03,2024-09-06,2024-09-26,2024-10-05,,Deployment & Release,2,medium,,,2025-06-26,T-00180,ASS-001
T-00236,T-00233,Customer Onboarding Flow Optimization,Blog Article - T-00236,To Do,0.0,2024-07-29,2024-07-31,2024-08-05,,0.0,Content Creation,2,high,,,2025-07-02,,ASS-009
T-00237,,Website Redesign - User Experience Overhaul,Training Material - T-00237,in progress,,2024-07-23,2024-07-30,,,5.3,Customer Support Prep,3,Medium,,,2025-07-02,,ASS-011
T-00238,,Q3 Product Feature Launch - AI Integration,Post-Launch Monitoring Setup - T-00238,To Do,0.0,2024-08-28,2024-08-29,2024-09-03,,,Deployment & Release,5,Medium,,,2025-06-30,,ASS-012
T-00239,T-00238,Q3 Product Feature Launch - AI Integration,Social Media Post - T-00239,REVIEW,,2025-02-01,2025-02-05,,2025-02-28,10.4,Content Creation,3,medium,,Minor Rework,2025-07-05,,ASS-012
T-00240,T-00239,Customer Onboarding Flow Optimization,Unit Testing - T-00240,Completed,100.0,2025-03-22,2025-03-25,,2025-04-24,25.8,QA & Testing,1,High,,,2025-06-29,T-00208,ASS-012
T-00241,T-00239,Q3 Product Feature Launch - AI Integration,Stakeholder Sync - T-00241,REVIEW,,2025-04-13,2025-04-20,2025-05-10,2025-05-08,30.2,PMO & Coordination,5,Medium,,Minor Rework,2025-07-05,,ASS-004
T-00242,T-00239,Customer Onboarding Flow Optimization,Deployment Script - T-00242,Completed,100.0,2024-11-15,2024-11-17,2024-12-13,2024-12-08,37.9,Deployment & Release,5,High,,,2025-06-29,,ASS-001
T-00243,T-00239,Internal Tool Development - Automation Suite,FAQ Document - T-00243,Blocked,70.4,2024-10-15,2024-10-19,2024-12-24,,,Customer Support Prep,3,Medium,,,2025-07-07,,ASS-002
T-00244,T-00238,Website Redesign - User Experience Overhaul,Performance Tuning - T-00244,Completed,100.0,2025-02-22,2025-02-24,2025-03-06,2025-03-03,19.9,Development (Backend),2,low,,Minor Rework,2025-06-23,,ASS-010
T-00245,T-00244,Q3 Product Feature Launch - AI Integration,Ad Copy Draft - T-00245,completed.,100.0,2025-01-02,2025-01-06,2025-02-03,2025-02-12,28.2,Content Creation,1,Low,,,2025-06-23,T-00201,ASS-001
T-00246,T-00244,Q3 Product Feature Launch - AI Integration,Performance Report - T-00246,Review,100.0,2024-08-10,2024-08-11,,2024-09-07,33.0,Analytics & Reporting,5,High,,,2025-06-30,,ASS-009
T-00247,T-00238,Holiday Marketing Campaign - Social Media Focus,API Endpoint Creation - T-00247,Completed,100.0,2025-01-22,2025-01-28,2025-03-06,2025-03-02,,Development (Backend),3,Critical,,Passed,2025-06-29,,ASS-001
T-00248,T-00238,Holiday Marketing Campaign - Social Media Focus,Ad Copy Draft - T-00248,Blocked,20.1,2024-12-08,2024-12-09,2025-01-29,,1.6,Content Creation,1,Low,,,2025-06-23,T-00007,ASS-006
T-00249,,Holiday Marketing Campaign - Social Media Focus,Wireframe Creation - T-00249,To Do,0.0,2024-10-26,2024-11-02,2024-11-13,,0.0,Design & UX,3,Critical,,,2025-06-24,,ASS-002
T-00250,T-00249,Q3 Product Feature Launch - AI Integration,Performance Tuning - T-00250,Blocked,,2025-03-31,2025-04-05,2025-05-25,,4.7,Development (Backend),4,High,Resource Unavailability,,2025-06-24,,ASS-002
T-00251,T-00249,Customer Onboarding Flow Optimization,Performance Tuning - T-00251,Completed,100.0,2025-03-23,2025-03-24,,2025-04-05,12.8,Development (Backend),3,Critical,,,2025-07-07,,ASS-011
T-00252,T-00251,Internal Tool Development - Automation Suite,Database Schema Update - T-00252,Review,100.0,2024-08-25,2024-08-28,2024-10-14,2024-10-14,30.8,Development (Backend),3,Medium,,,2025-06-28,,ASS-010
T-00253,T-00251,Holiday Marketing Campaign - Social Media Focus,Ad Copy Draft - T-00253,To Do,0.0,2024-08-09,2024-08-13,2024-09-15,,0.0,Content Creation,2,Low,,,2025-06-28,T-00012,ASS-009
T-00254,T-00251,Q3 Product Feature Launch - AI Integration,Compliance Check - T-00254,To Do,0.0,2024-08-18,2024-08-21,2024-10-19,,0.0,Legal & Compliance Review,2,Low,,,2025-06-28,,ASS-004
T-00255,,Internal Tool Development - Automation Suite,Performance Report - T-00255,To Do,0.0,2025-03-20,2025-03-21,2025-04-05,,0.0,Analytics & Reporting,2,High,,,2025-06-27,,ASS-007
T-00256,T-00255,Q3 Product Feature Launch - AI Integration,Dashboard Build - T-00256,To Do,0.0,2025-03-25,2025-03-28,2025-05-18,,,Analytics & Reporting,5,Critical,,,2025-07-05,,ASS-001
T-00257,T-00256,Holiday Marketing Campaign - Social Media Focus,Database Schema Update - T-00257,To Do,0.0,2024-07-21,2024-07-22,,,,Development (Backend),5,Low,,,2025-06-30,,ASS-011
T-00258,T-00256,Customer Onboarding Flow Optimization,Stakeholder Sync - T-00258,To Do,0.0,2025-01-03,2025-01-03,,,0.0,PMO & Coordination,5,Low,,,2025-07-05,T-00140,ASS-010
T-00259,T-00255,Q3 Product Feature Launch - AI Integration,Data Collection Setup - T-00259,Review,100.0,2024-09-27,2024-09-28,2024-10-17,2024-10-12,12.3,Analytics & Reporting,2,Medium,,,2025-06-26,,ASS-001
T-00260,T-00259,Q3 Product Feature Launch - AI Integration,Market Research - T-00260,In Progress,76.4,2024-08-25,2024-08-26,2024-09-07,,24.3,Strategy & Planning,5,Medium,,,2025-07-01,T-00167,ASS-010
T-00261,T-00259,Customer Onboarding Flow Optimization,UAT Coordination - T-00261,Blocked,27.0,2024-11-27,2024-11-27,,,,QA & Testing,4,High,DataAccessIssues,,2025-07-01,,ASS-005
